site_name,Cultural Venue Type,latitude,longitude
Etteridge Hall,Community centres,51.60784852,0.042609001
The Parkside Community Centre,Community centres,51.55257857,0.107116322
Hainault Forest Community Association,Community centres,51.60775909,0.104438106
The Cranbrook Centre,Community centres,51.56695888,0.07121657
Loxford Community Corner,Community centres,51.54696922,0.081593709
Wanstead House Community Association,Community centres,51.57422648,0.029170367
Bullen Hall,Community centres,51.41384435,-0.313456324
Sheen Lane Centre,Community centres,51.46587486,-0.267209448
Murray Park Hall,Community centres,51.45515996,-0.352984208
Crane Community Centre,Community centres,51.44527035,-0.350562753
Cambrian Centre,Community centres,51.45379698,-0.293531227
Whitton Community Centre,Community centres,51.44398135,-0.364452248
East Twickenham Neighbourhood Association Community Centre,Community centres,51.45520666,-0.313270084
DERA Social Centre,Community centres,51.44888852,-0.352073005
The Exchange,Community centres,51.45004699,-0.331257414
The White House Community Association,Community centres,51.42557247,-0.377264004
The Barnes Green Centre,Community centres,51.47230095,-0.246625657
World's End Community Centre,Community centres,51.48093911,-0.178859105
Silchester Community Room,Community centres,51.51283578,-0.219034662
Sir Thomas More Community Centre,Community centres,51.48306237,-0.173719238
Henry Dickens Community Centre,Community centres,51.51012519,-0.215452474
Treverton Community Centre,Community centres,51.52324234,-0.215043073
Kensal Resource Centre,Community centres,51.52448513,-0.208572273
John Keys Resource Centre,Community centres,51.49161673,-0.170857476
Edwards Woods Community Centre,Community centres,51.50695004,-0.215994497
The Dalgarno Trust,Community centres,51.52437269,-0.22455368
World's End Community Centre,Community centres,51.48164362,-0.179637588
Kensal House Community Centre,Community centres,51.52523651,-0.215106465
Kensington Town Hall,Community centres,51.50176812,-0.19508663
Ixworth Place Community Centre,Community centres,51.49196052,-0.16938775
Chelsea Old Church,Community centres,51.48334463,-0.171057855
The Reed,Community centres,51.51585147,-0.206622731
North Kensington Resource Centre,Community centres,51.5129007,-0.217015741
Portobello Court Community Centre,Community centres,51.51444547,-0.202744664
Nevern Place,Community centres,51.49313649,-0.194781365
Shiraz Mirza Hall (Norbiton),Community centres,51.41236776,-0.282995543
Tudor Hall,Community centres,51.42631989,-0.297504313
Shiraz Mirza Hall (Manor Park Hall),Community centres,51.38732844,-0.251134267
Hook Centre,Community centres,51.36791923,-0.306034105
Richard Mayo Hall,Community centres,51.40917844,-0.304813631
Graham Spicer Institute,Community centres,51.40296761,-0.255412071
Canbury Pavillion,Community centres,51.41703685,-0.305989669
Milapp Day Centre,Community centres,51.41708258,-0.294885169
Hook Centre Community Hall,Community centres,51.36791923,-0.306034105
Kingston Working Men's Club & Institute,Community centres,51.41123186,-0.299445803
Surbiton Library Hall,Community centres,51.39280099,-0.297886206
New Malden Library Hall,Community centres,51.39929772,-0.260798987
The Guildhall,Community centres,51.40836615,-0.305231887
The Fircroft Trust,Community centres,51.38198218,-0.304049788
Open Ealing,Creative co-working desk space,51.5109107,-0.326488988
Camden Collective,Creative co-working desk space,51.54073739,-0.14310203
Second Home,Creative co-working desk space,51.52003201,-0.070430866
Oval Space,Creative co-working desk space,51.53314896,-0.058802284
The Trampery,Creative co-working desk space,51.51022016,-0.004826646
The Cube,Creative co-working desk space,51.52122887,-0.076027038
The Carlyle Group,Creative co-working desk space,51.47178999,-0.206048837
Ugli Campus,Creative co-working desk space,51.51111518,-0.22380125
Huckletree,Creative co-working desk space,51.51337797,-0.227854965
Brent Artists Resource Company,Creative co-working desk space,51.54774249,-0.223831033
Second Home,Creative co-working desk space,51.50807127,-0.210205072
Huckletree,Creative co-working desk space,51.51973875,-0.102039789
The Green House,Creative co-working desk space,51.55292656,-0.087964413
The Carlyle Group,Creative co-working desk space,51.55032267,-0.108151728
Huckletree,Creative co-working desk space,51.52171002,-0.086663417
Ark Coworking,Creative co-working desk space,51.53092502,-0.118183778
Areaworks,Creative co-working desk space,51.53694973,-0.07715578
Canal,Creative co-working desk space,51.53726349,-0.078707127
Soho Works,Creative co-working desk space,51.5240737,-0.076689415
The Green House,Creative co-working desk space,51.54734988,-0.042555942
One House Studios,Creative co-working desk space,51.52776285,-0.076822202
Millers Junction,Creative co-working desk space,51.55244302,-0.074462501
Bootstrap Company,Creative co-working desk space,51.54701387,-0.073962337
Second Home,Creative co-working desk space,51.53819952,-0.057520276
Creative Blocks,Creative co-working desk space,51.53731319,-0.076289674
Beehive,Creative co-working desk space,51.56588574,-0.072097932
Blightly Arts,Creative co-working desk space,51.56396017,-0.102882417
Clear Village Charitable Trust,Creative co-working desk space,51.53729733,-0.067133603
Studio Shoreditch,Creative co-working desk space,51.52910841,-0.087607406
Farrells Creative Hub,Creative co-working desk space,51.52347023,-0.173385371
Sohost,Creative co-working desk space,51.51321755,-0.134464753
Matthews Yard,Creative co-working desk space,51.37216106,-0.101094935
Areaworks,Creative co-working desk space,51.57603639,-0.087341958
The Chocolate Factory,Creative co-working desk space,51.59455719,-0.114876841
Papertank Collective,Creative co-working desk space,51.59256512,-0.057297242
This Time Next Year,Creative co-working desk space,51.55743187,-0.011156777
Biz Space,Creative co-working desk space,51.47056445,-0.101921585
The Handbag Factory,Creative co-working desk space,51.48725149,-0.115647525
Canvas Coworking,Creative co-working desk space,51.45240836,-0.126538135
Tcn Uk,Creative co-working desk space,51.46163388,-0.116371242
Biz Space,Creative co-working desk space,51.46471788,-0.102955983
Artfix,Creative co-working desk space,51.49125055,0.066501423
Delta House Studios,Creative co-working desk space,51.43337949,-0.188922206
Universal Workspace,Creative co-working desk space,51.50455131,-0.09269975
The Carlyle Group,Creative co-working desk space,51.50128057,-0.091755733
Sustainable Workspaces,Creative co-working desk space,51.50659469,-0.09614489
Many Hands,Creative co-working desk space,51.4946256,-0.06322076
Buygivework At Keetons And Collett,Creative co-working desk space,51.4963717,-0.062952496
The Ministry,Creative co-working desk space,51.49751114,-0.099419469
Biz Space,Creative co-working desk space,51.47700051,-0.091228342
Cockpit Arts,Creative workspaces,51.52188788,-0.116538394
Kluster Rooms,Creative workspaces,51.51133415,-0.043185495
Four Corners,Creative workspaces,51.52889595,-0.048991303
Limehouse Town Hall Consortium Trust,Creative workspaces,51.51211535,-0.0313946
Arbeit / Arebyte,Creative workspaces,51.5428834,-0.023501626
Arbeit / Arebyte,Creative workspaces,51.51192547,-0.025346846
Urban Space Management (Tbw) Ltd,Creative workspaces,51.50844157,0.008742625
Mowlem Studios,Creative workspaces,51.53312124,-0.055454417
The Hive,Creative workspaces,51.53773477,-0.02161462
The Nest,Creative workspaces,51.50414566,-0.06361821
Stour Space,Creative workspaces,51.5401882,-0.021093746
Crown Workshop,Creative workspaces,51.53049417,-0.060538314
Container City,Creative workspaces,51.50844157,0.008742625
The Mill Co. Project,Creative workspaces,51.51268388,-0.042695252
Arbeit / Arebyte,Creative workspaces,51.51121475,0.005924735
Ten87 Studios,Creative workspaces,51.58312388,-0.064960209
Blue House Yard,Creative workspaces,51.59705509,-0.111957962
The Mill Co. Project,Creative workspaces,51.58255896,-0.067784438
Bernie Grant Centre,Creative workspaces,51.58747503,-0.073075941
The Mill Co. Project,Creative workspaces,51.5904378,-0.06187776
The Mill Co. Project,Creative workspaces,51.58376577,-0.063532801
So&so,Creative workspaces,51.57663862,-0.088427961
New River Studios,Creative workspaces,51.57495228,-0.088137876
Artistic Spaces Ltd,Creative workspaces,51.527779,-0.265926973
Main Yard Studios,Creative workspaces,51.41277538,-0.186388431
The Koppel Project Hive,Creative workspaces,51.51724287,-0.105631672
Studio 3 Arts,Creative workspaces,51.53048513,0.080316948
Bow Arts,Creative workspaces,51.53192218,0.076342118
Buspace,Creative workspaces,51.52546573,-0.211262852
The Bomb Factory Art Foundation Ltd,Creative workspaces,51.56581008,-0.131850478
2northdown,Creative workspaces,51.53134606,-0.119204504
Anomalous Collective,Creative workspaces,51.53373064,-0.107556734
Tileyard Studios,Creative workspaces,51.54260108,-0.122893693
Candid Arts Trust,Creative workspaces,51.5322244,-0.10505277
The Lumen Studio,Creative workspaces,51.55994394,-0.113682028
Cell Project Space,Creative workspaces,51.55209235,-0.073820116
Container Ville,Creative workspaces,51.52283533,-0.081787044
Lighthouse Studios,Creative workspaces,51.55274138,-0.071181864
Hatch Homerton,Creative workspaces,51.54734988,-0.042555942
The Mill Co. Project,Creative workspaces,51.53706838,-0.079470665
Artistic Spaces Ltd,Creative workspaces,51.55529307,-0.066811419
De Beauvoir Block,Creative workspaces,51.54190566,-0.080086374
Centre For Fashion Enterprise,Creative workspaces,51.54112315,-0.05487207
Cell Project Space,Creative workspaces,51.55191501,-0.074519971
Eat Work Art,Creative workspaces,51.53756413,-0.057705949
Bootstrap Company,Creative workspaces,51.54696352,-0.074728876
Main Yard Studios,Creative workspaces,51.54439017,-0.022729634
Grow Studios,Creative workspaces,51.54439017,-0.022729634
The Mill Co. Project,Creative workspaces,51.53896522,-0.081613283
Hoxton Hall Charity,Creative workspaces,51.53177145,-0.079983798
Westland Place Studio,Creative workspaces,51.52840997,-0.090548964
Chocolate Factory 16,Creative workspaces,51.5555403,-0.073501492
Eat Work Art,Creative workspaces,51.5543425,-0.06629616
Set,Creative workspaces,51.54641102,-0.07284838
Shepherd's Lane Studios,Creative workspaces,51.54769218,-0.046257348
Future Studio,Creative workspaces,51.53132194,-0.070140669
Crixus Productions,Creative workspaces,51.49274771,0.050376512
Bow Arts,Creative workspaces,51.445202,-0.021305857
Artistic Spaces Ltd,Creative workspaces,51.4823994,-0.044511569
Bow Arts,Creative workspaces,51.445202,-0.021305857
Cockpit Arts,Creative workspaces,51.47862647,-0.020651415
The Artworks,Creative workspaces,51.476615,-0.021890628
Second Floor Studios And Arts,Creative workspaces,51.48982051,-0.030667506
Artistic Spaces Ltd,Creative workspaces,51.48327589,-0.044762113
Arbeit / Arebyte,Creative workspaces,51.56829694,-0.034766338
Mentmore Studios,Creative workspaces,51.570548,-0.039244044
Meanwhile Space,Creative workspaces,51.59324028,-0.04057811
Meanwhile Space,Creative workspaces,51.58540094,-0.019261343
Makeshift,Creative workspaces,51.46345821,-0.112332946
Meanwhile Space,Creative workspaces,51.50096102,-0.113136812
Meanwhile Space,Creative workspaces,51.46626477,-0.102963822
Eat Work Art,Creative workspaces,51.49848829,-0.116510672
Artistic Spaces Ltd,Creative workspaces,51.48468218,-0.06283575
Artistic Spaces Ltd,Creative workspaces,51.48207971,-0.070738783
Artistic Spaces Ltd,Creative workspaces,51.48194983,-0.071103314
Set,Creative workspaces,51.49410279,-0.073514663
So&so,Creative workspaces,51.50302622,-0.085198675
Makeshift,Creative workspaces,51.4707435,-0.068195156
Copeland Park,Creative workspaces,51.4700081,-0.065739309
Usurp Art,Creative workspaces,51.57904584,-0.349346696
London Borough Of Havering,Creative workspaces,51.56501734,0.218235691
Somerset House Trust,Creative workspaces,51.51102034,-0.117952414
Interim Spaces,Creative workspaces,51.51611869,-0.163878721
Great Western Studios,Creative workspaces,51.52373398,-0.201513847
Rose Theatre,Dance performance venues,51.4086431,-0.307594201
St John's Church,Dance performance venues,51.40308542,-0.300754207
Greenwich Theatre,Dance performance venues,51.47946415,-0.007621808
The O2 Arena,Dance performance venues,51.50292054,0.003185639
The Tramshed,Dance performance venues,51.48949713,0.068021085
Trinity Laban / Laban Theatre,Dance performance venues,51.48005383,-0.020503156
Greenwich Dance,Dance performance venues,51.47806302,-0.0107391
"King Charles Court, Old Royal Naval College (Trinity Laban)",Dance performance venues,51.48358702,-0.007171472
Blackheath Halls,Dance performance venues,51.46437941,0.009627334
Alexandra Palace,Dance performance venues,51.59448347,-0.130501429
Bernie Grant Arts Centre,Dance performance venues,51.58747503,-0.073075943
Jacksons Lane,Dance performance venues,51.57668107,-0.145404162
Upstairs at the Gatehouse,Dance performance venues,51.5717955,-0.150365124
Apollo Victoria Theatre,Dance performance venues,51.49577576,-0.142654424
Canal Cafe Theatre,Dance performance venues,51.52103082,-0.184236365
Charing Cross Theatre,Dance performance venues,51.50808822,-0.124096963
Palace Theatre,Dance performance venues,51.51308657,-0.129627602
ICA,Dance performance venues,51.50638923,-0.130896308
London Palladium,Dance performance venues,51.51453773,-0.140017324
Lyceum Theatre,Dance performance venues,51.51142368,-0.120111955
Noel Coward Theatre,Dance performance venues,51.51110956,-0.127460405
Peacock Theatre,Dance performance venues,51.51462706,-0.117991055
Piccadilly Theatre,Dance performance venues,51.51105578,-0.135374572
Playhouse Theatre,Dance performance venues,51.50696648,-0.12368193
Royal Opera House - The Linbury Studio Theatre and Foyer,Dance performance venues,51.51304711,-0.122653705
Rudolf Steiner House,Dance performance venues,51.52489743,-0.160555743
Savoy Theatre,Dance performance venues,51.51016784,-0.12086983
The Phoenix Artists Club,Dance performance venues,51.50959927,-0.128617607
The Royal Albert Hall,Dance performance venues,51.50126863,-0.17751559
Theatre Royal Drury Lane,Dance performance venues,51.51287517,-0.120340416
The Other Palace,Dance performance venues,51.49871015,-0.142261336
St John's Smith Square,Dance performance venues,51.49590593,-0.127089782
Theatre Royal Haymarket,Dance performance venues,51.50863453,-0.131279929
Church Hall of the Church of the Holy Apostles,Dance performance venues,51.4884578,-0.143355213
Freed of London,Dance performance venues,51.51065608,-0.127219602
The Old Selfridges Hotel,Dance performance venues,51.51458707,-0.152813774
Adelphi Theatre,Dance performance venues,51.51010219,-0.12294776
Apollo Theatre,Dance performance venues,51.5115007,-0.13338199
Soho Theatre,Dance performance venues,51.51450305,-0.132740339
Danceworks,Dance performance venues,51.51318751,-0.152452465
The Saw Swee Hock Centre - Weston Studio,Dance performance venues,51.51463833,-0.117572622
Dance Umbrella - Somerset House,Dance performance venues,51.51102034,-0.117952415
Arts Theatre,Dance performance venues,51.51211816,-0.127548734
Cockpit Theatre,Dance performance venues,51.52449748,-0.169480819
Lyric Theatre,Dance performance venues,51.51127346,-0.133794809
Aldwych Theatre,Dance performance venues,51.51307629,-0.118862085
Trafalgar Studios (previously the Whitehall),Dance performance venues,51.50663365,-0.127615185
Vaudeville Theatre,Dance performance venues,51.51034645,-0.122476552
Her Majesty's Theatre,Dance performance venues,51.50812453,-0.13200693
Leicester Square Theatre,Dance performance venues,51.5113401,-0.130073873
The Arc Theatre,Dance performance venues,51.51592981,-0.085662344
Barbican Centre Theatre,Dance performance venues,51.51996231,-0.094106846
Bridewell Theatre,Dance performance venues,51.51349205,-0.105023493
"The Pit, Barbican Centre",Dance performance venues,51.51996227,-0.094104542
Barons Court Theatre,Dance performance venues,51.48943219,-0.209490815
Eventim Apollo Hammersmith,Dance performance venues,51.49069334,-0.224422616
Bhavan Centre,Dance performance venues,51.4897635,-0.207043433
West London School of Dance,Dance performance venues,51.50548497,-0.223746535
Bloomsbury Theatre,Dance performance venues,51.52506973,-0.132754789
Cambridge Theatre,Dance performance venues,51.51351139,-0.126381824
Hampstead Theatre,Dance performance venues,51.54382562,-0.173709262
New Diorama Theatre,Dance performance venues,51.52503273,-0.141751873
Phoenix Theatre,Dance performance venues,51.51452424,-0.129554271
Roundhouse,Dance performance venues,51.54323234,-0.151898608
Shaftesbury Theatre,Dance performance venues,51.51627657,-0.126095341
Shaw Theatre,Dance performance venues,51.52864677,-0.12811024
The Lion and Unicorn Theatre,Dance performance venues,51.54809015,-0.138922711
The Gallery at The Hospital Club,Dance performance venues,51.51489401,-0.124552288
Dragon Hall ,Dance performance venues,51.5166264,-0.122665013
Westminster Kingsway College Theatre,Dance performance venues,51.52690563,-0.118767654
Etcetera Theatre,Dance performance venues,51.54059409,-0.144275957
Royal Academy of Dramatic Art,Dance performance venues,51.52088928,-0.13226279
Tristan Bates Theatre (TBT),Dance performance venues,51.51336223,-0.128304785
Clean Break,Dance performance venues,51.54692186,-0.140672301
Conway Hall,Dance performance venues,51.51979404,-0.118311294
Dominion Theatre,Dance performance venues,51.51696266,-0.129641703
Cecil Sharp House,Dance performance venues,51.53810212,-0.149337866
RADA Studios,Dance performance venues,51.52066919,-0.13256009
Welsh Centre,Dance performance venues,51.52493328,-0.116902823
Camden People's Theatre,Dance performance venues,51.52640081,-0.138423624
The Place Theatre,Dance performance venues,51.52750935,-0.128401995
Theatro Technis,Dance performance venues,51.53549592,-0.134678304
JW3 (Jewish Community Centre London),Dance performance venues,51.55091289,-0.184791524
Brady Arts & Community Centre,Dance performance venues,51.51941799,-0.065368543
The Yard,Dance performance venues,51.54263859,-0.023382441
Rich Mix,Dance performance venues,51.52435934,-0.073275203
Poplar Union,Dance performance venues,51.51559973,-0.02298261
Wilton's Music Hall,Dance performance venues,51.51061305,-0.066937948
The Space,Dance performance venues,51.49216667,-0.024198973
Chisenhale Dance Space,Dance performance venues,51.53308803,-0.039708154
Oxford House Theatre,Dance performance venues,51.52636805,-0.061484047
Toynbee Studios,Dance performance venues,51.51668037,-0.072230154
Half Moon Young People's Theatre,Dance performance venues,51.51325269,-0.041215197
Bread and Roses,Dance performance venues,51.46586805,-0.136540351
Lost Theatre,Dance performance venues,51.47552393,-0.131821282
White Bear Theatre,Dance performance venues,51.48690516,-0.108099695
Waterloo East Theatre,Dance performance venues,51.50406716,-0.110011288
The Vaults,Dance performance venues,51.50197488,-0.115285479
Electric Brixton,Dance performance venues,51.46019347,-0.116833605
Landor Theatre,Dance performance venues,51.46566493,-0.126053013
The Young Vic,Dance performance venues,51.50327691,-0.107291849
Rambert,Dance performance venues,51.50617404,-0.113523269
Omnibus Arts Centre,Dance performance venues,51.46375804,-0.142413708
Flow Dance London,Dance performance venues,51.4804897,-0.109546045
Broadway Theatre,Dance performance venues,51.5356693,0.078044242
Cadogan Hall,Dance performance venues,51.49386601,-0.157267874
The Gate Theatre,Dance performance venues,51.50952947,-0.197663819
The Tabernacle,Dance performance venues,51.51696816,-0.201881407
Islington Assembly Hall,Dance performance venues,51.54433219,-0.103612127
Park Theatre,Dance performance venues,51.56563594,-0.108641889
The King's Head Theatre,Dance performance venues,51.53830316,-0.102810177
The Rosemary Branch,Dance performance venues,51.53762241,-0.08693312
Kings Place,Dance performance venues,51.53499869,-0.121548397
London Metropolitan University Graduate Centre,Dance performance venues,51.55147327,-0.110354203
Lift Islington - Platform Theatre,Dance performance venues,51.56142487,-0.115741604
Sadler's Wells Theatre,Dance performance venues,51.52942925,-0.106264614
London Dance Academy,Dance performance venues,51.52555915,-0.096622223
Pleasance,Dance performance venues,51.54876851,-0.121673379
Old Red Lion,Dance performance venues,51.53148185,-0.105847779
Lilian Baylis Studio,Dance performance venues,51.52968382,-0.10587919
Theatre Delicatessen (Guardian House),Dance performance venues,51.52322362,-0.108453861
Millfield Arts Centre,Dance performance venues,51.61595447,-0.080219224
Chicken Shed,Dance performance venues,51.64443614,-0.145241925
Intimate Theatre,Dance performance venues,51.62419102,-0.10284236
The Queen's Theatre,Dance performance venues,51.56521058,0.219444297
ACS Dance Centre,Dance performance venues,51.57360449,0.18990651
Richmond Theatre,Dance performance venues,51.46212985,-0.303844781
Landmark Arts Centre,Dance performance venues,51.4280867,-0.324626903
Studio K,Dance performance venues,51.46347521,-0.301706458
Southwark Playhouse,Dance performance venues,51.49750075,-0.098224093
The Scoop at More London,Dance performance venues,51.50503006,-0.079257609
"Asylum, Caroline Gardens Chapel",Dance performance venues,51.47893357,-0.060530333
The Bussey Building AKA The CLF Art Cafe,Dance performance venues,51.469934,-0.067363425
Shakespeare's Globe Theatre,Dance performance venues,51.50811239,-0.09657156
Unicorn Theatre,Dance performance venues,51.50384193,-0.080639895
Union Theatre,Dance performance venues,51.50375651,-0.101911697
Menier Theatre,Dance performance venues,51.50466098,-0.094467554
Theatre Peckham,Dance performance venues,51.47449519,-0.082758591
Mountview Theatre School,Dance performance venues,51.4748743,-0.069877256
Siobhan Davies Studios,Dance performance venues,51.49606,-0.105329064
Canada Water Culture Space,Dance performance venues,51.49780959,-0.049153611
Testbed 1,Dance performance venues,51.47883271,-0.168329134
Putney Arts Theatre,Dance performance venues,51.46128657,-0.220223039
"Michaelis Theatre, Roehampton University",Dance performance venues,51.45610039,-0.247269507
Newlands Community Hall,Dance performance venues,51.43808068,-0.244376348
Tara Studio,Dance performance venues,51.44217585,-0.188430425
Winston Churchill Theatre,Dance performance venues,51.5789453,-0.428743514
Uxbridge College,Dance performance venues,51.5162788,-0.411430057
"Compass Theatre, Hillingdon",Dance performance venues,51.56218624,-0.440386739
Beck Theatre,Dance performance venues,51.5210498,-0.421800756
The Albert,Dance performance venues,51.53364609,-0.202247628
Patidar House Studios,Dance performance venues,51.55229548,-0.294982599
Tricycle Theatre,Dance performance venues,51.54331474,-0.200005991
Hackney Empire,Dance performance venues,51.54552162,-0.055477861
Hoxton Hall,Dance performance venues,51.53177145,-0.0799838
Arcola,Dance performance venues,51.54691315,-0.074947347
Studio Wayne McGregor,Dance performance venues,51.54744385,-0.024066959
"The Old Church , Stoke Newington",Dance performance venues,51.56041201,-0.084880748
Foulden Works,Dance performance venues,51.55551305,-0.072391878
Shoreditch Town Hall,Dance performance venues,51.52667619,-0.079102613
Graeae Theatre Company Bradbury Studios,Dance performance venues,51.53279852,-0.076811706
National Circus,Dance performance venues,51.52755809,-0.082550204
Chat's Palace,Dance performance venues,51.55026393,-0.042683326
TripSpace Dance,Dance performance venues,51.53679364,-0.075864571
Courtyard Theatre,Dance performance venues,51.52787925,-0.083377075
Kenneth More Theatre,Dance performance venues,51.55867744,0.075240584
Pinner Village Hall,Dance performance venues,51.59325663,-0.384014347
Harrow Arts Centre,Dance performance venues,51.60848854,-0.363803161
Candoco Dance Company,Dance performance venues,51.6302468,-0.31023884
Watermans Arts Centre,Dance performance venues,51.48576836,-0.298042371
The Tabard Theatre,Dance performance venues,51.49569249,-0.254641421
New Wimbledon Theatre,Dance performance venues,51.41914644,-0.201365109
Polka Theatre for Children,Dance performance venues,51.41973108,-0.194975806
Stratford Circus,Dance performance venues,51.5427166,0.001743614
"Theatre Royal, Stratford East",Dance performance venues,51.54255806,0.001000881
West London University,Dance performance venues,51.50656547,-0.304688388
Brentside,Dance performance venues,51.52655631,-0.33995693
Questor's Theatre,Dance performance venues,51.51170889,-0.309656624
Churchill Theatre: Magpie Dance,Dance performance venues,51.403765,0.014474247
Langley Park Centre for the Performing Arts - Bromley Hall,Dance performance venues,51.38893001,-0.01894751
Higham Hill Hub,Dance performance venues,51.59712882,-0.037580749
Leyden Sixth form College,Dance performance venues,51.57606761,-0.002867702
Harris Academy Purley,Dance performance venues,51.35324715,-0.10931616
Fairfield Hall (closed for refurbishment),Dance performance venues,51.37252439,-0.095778074
Theatre Utopia,Dance performance venues,51.37216106,-0.101094936
The Broadway Theatre,Dance performance venues,51.4452943,-0.020380851
Brockley Jack Studio Theatre,Dance performance venues,51.45363918,-0.039076935
Albany Centre and Theatre,Dance performance venues,51.4778771,-0.027409247
Rivoli Ballroom,Dance performance venues,51.45526234,-0.037193751
Arts Depot,Dance performance venues,51.61281644,-0.176699509
Abacus Arts,Dance rehearsal studios,51.48986355,-0.095862668
Alleyn's School,Dance rehearsal studios,51.45478129,-0.081993244
Anatomie Studio,Dance rehearsal studios,51.48207971,-0.070738785
BTS Project,Dance rehearsal studios,51.48566555,-0.05922195
Canada Water Studios,Dance rehearsal studios,51.49914132,-0.048590555
Glasshill Studios,Dance rehearsal studios,51.50133162,-0.101551422
Husky Studios,Dance rehearsal studios,51.48956364,-0.098439231
Jerwood Space,Dance rehearsal studios,51.50362093,-0.099093114
Kelechnekoff Studio,Dance rehearsal studios,51.47796737,-0.07337388
London Bubble,Dance rehearsal studios,51.50048305,-0.055263804
Studio 68,Dance rehearsal studios,51.50451752,-0.09864396
The Classrooms,Dance rehearsal studios,51.50439855,-0.091049036
The Siding,Dance rehearsal studios,51.50434302,-0.094264681
47-49 Tanner Street,Dance rehearsal studios,51.50010756,-0.077915791
The Bridge ,Dance rehearsal studios,51.50452458,-0.095481917
Unicorn Theatre,Dance rehearsal studios,51.50384193,-0.080639895
Union Theatre,Dance rehearsal studios,51.50375651,-0.101911697
Menier Theatre,Dance rehearsal studios,51.50466098,-0.094467554
Theatre Peckham,Dance rehearsal studios,51.47449519,-0.082758591
Mountview Theatre School,Dance rehearsal studios,51.4748743,-0.069877256
Siobhan Davies Studios,Dance rehearsal studios,51.49606,-0.105329064
Canada Water Culture Space,Dance rehearsal studios,51.49780959,-0.049153611
Academy Performing Arts,Dance rehearsal studios,51.49409739,0.068762397
Millenium Performing Arts,Dance rehearsal studios,51.49073887,0.065694614
OMJ24 CREATIVE SPACE,Dance rehearsal studios,51.49261665,0.092912164
Hangar Art Trust,Dance rehearsal studios,51.4943765,0.043965071
The Tramshed,Dance rehearsal studios,51.48949713,0.068021085
Trinity Laban / Laban Theatre,Dance rehearsal studios,51.48005383,-0.020503156
Greenwich Dance,Dance rehearsal studios,51.47806302,-0.0107391
"King Charles Court, Old Royal Naval College (Trinity Laban)",Dance rehearsal studios,51.48358702,-0.007171472
Blackheath Halls,Dance rehearsal studios,51.46437941,0.009627334
Alford House,Dance rehearsal studios,51.48799223,-0.114176555
Brixton Community Base,Dance rehearsal studios,51.45865602,-0.110707061
Evelyn Grace Academy,Dance rehearsal studios,51.46083334,-0.10353452
Love Dance Centre,Dance rehearsal studios,51.46105474,-0.136966609
The Shala,Dance rehearsal studios,51.43454753,-0.102997455
Studio B,Dance rehearsal studios,51.4528921,-0.121365609
Streatham Youth and Community Trust,Dance rehearsal studios,51.42965878,-0.127238497
Wellfield Centre,Dance rehearsal studios,51.42965878,-0.127238497
West Dulwich Health and Wellbeing Centre,Dance rehearsal studios,51.4351669,-0.095720482
South London Dance Studios,Dance rehearsal studios,51.45353404,-0.101490894
Ovalhouse,Dance rehearsal studios,51.48244459,-0.113670827
Vinters Studios,Dance rehearsal studios,51.43094452,-0.128912273
Creation Box,Dance rehearsal studios,51.49890212,-0.113164254
Arch 468 ,Dance rehearsal studios,51.46580262,-0.102191142
Electric Brixton,Dance rehearsal studios,51.46019347,-0.116833605
Landor Theatre,Dance rehearsal studios,51.46566493,-0.126053013
The Young Vic,Dance rehearsal studios,51.50327691,-0.107291849
Rambert,Dance rehearsal studios,51.50617404,-0.113523269
Omnibus Arts Centre,Dance rehearsal studios,51.46375804,-0.142413708
Flow Dance London,Dance rehearsal studios,51.4804897,-0.109546045
Antenna Studios,Dance rehearsal studios,51.41806561,-0.083228404
The Warehouse Dance and Fitness Studio,Dance rehearsal studios,51.36124226,-0.119401396
The Croydon Dance Academy,Dance rehearsal studios,51.37377701,-0.103700627
Harris Academy Purley,Dance rehearsal studios,51.35324715,-0.10931616
Fairfield Hall (closed for refurbishment),Dance rehearsal studios,51.37252439,-0.095778074
Theatre Utopia,Dance rehearsal studios,51.37216106,-0.101094936
Barking Road Community Centre: JÃÃÃs Dance Factory,Dance rehearsal studios,51.52830003,0.032611893
Chobam Academy,Dance rehearsal studios,51.54925262,-0.007030376
Maryland Studioz,Dance rehearsal studios,51.54996453,0.005437024
3 Mills Studios,Dance rehearsal studios,51.52684581,-0.006276453
Stratford Circus,Dance rehearsal studios,51.5427166,0.001743614
"Theatre Royal, Stratford East",Dance rehearsal studios,51.54255806,0.001000881
Ballet Boyz  - Studio 52,Dance rehearsal studios,51.4130041,-0.298258301
Kingston University,Dance rehearsal studios,51.40591238,-0.307809909
The Basement Dance Studio,Dance rehearsal studios,51.54869451,-0.128296802
"City Dance Academy  - THE IVORIES STUDIO 

",Dance rehearsal studios,51.54180622,-0.095352756
The Factory,Dance rehearsal studios,51.56635036,-0.121756944
Monkey House,Dance rehearsal studios,51.56052222,-0.114970978
Pole People & Dance Studio,Dance rehearsal studios,51.52102043,-0.090699665
London School of Capoeira,Dance rehearsal studios,51.56707204,-0.114613672
Rehearsal space,Dance rehearsal studios,51.5214824,-0.10198168
The Hope Theatre,Dance rehearsal studios,51.54325194,-0.103541677
Out of Joint,Dance rehearsal studios,51.56016472,-0.113990293
Union Chapel,Dance rehearsal studios,51.54475878,-0.102743469
