site_name,Cultural Venue Type,latitude,longitude
Royal Academy of Dramatic Art,Archives,51.52088928,-0.13226279
Sir John Soane's Museum,Archives,51.51699356,-0.117518714
Central School of Speech and Drama,Archives,51.54432753,-0.174179507
Ben Uri Art Society and Gallery,Archives,51.5375408,-0.185367081
Huguenot Library,Archives,51.52357126,-0.132398065
London University: University College Department of Egyptology,Archives,51.52357126,-0.132398065
Jewish Studies Library,Archives,51.52357126,-0.132398065
The Wiener Library for the Study of the Holocaust and Genocide,Archives,51.52160317,-0.127966757
London University: Institute for the Study of the Americas,Archives,51.52484364,-0.129852027
Royal Free Hospital Medical Library,Archives,51.55298126,-0.166288788
British Olympic Association,Archives,51.52004232,-0.136117275
"University College London (UCL) Queen Square Library, Archive and Museum",Archives,51.52259388,-0.122433912
Folklore Society Archives,Archives,51.5248441,-0.13326858
London University: University College London (UCL) Special Collections,Archives,51.5248441,-0.13326858
British Film Institute (BFI) National Archive,Archives,51.51785121,-0.132920441
Dr Williams's Library,Archives,51.52393564,-0.131561459
Congregational Library,Archives,51.52393564,-0.131561459
University of the Arts London: Central St Martins College of Art and Design,Archives,51.53538581,-0.125512168
Royal College of General Practitioners,Archives,51.52653977,-0.134150684
The Guinness Partnership,Archives,51.52599671,-0.139593415
National League of the Blind and Disabled,Archives,51.52884842,-0.119350731
Architectural Association Archives,Archives,51.51853136,-0.131018802
National Childbirth Trust,Archives,51.50593843,-0.269739395
Ealing Local History Centre,Archives,51.51233212,-0.302370117
Catholic Union of Great Britain,Archives,51.50441554,-0.248918069
Latymer Upper School,Archives,51.49273648,-0.237063395
Polish Library POSK,Archives,51.49351545,-0.237436695
William Morris Society,Archives,51.49058179,-0.235504366
Rogers Stirk Harbour + Partners,Archives,51.48362317,-0.224294009
St Paul's Girls' School,Archives,51.4951319,-0.218833263
Hammersmith and Fulham Archives and Local History Centre,Archives,51.49458469,-0.223666292
The Nutrition Society,Archives,51.49533778,-0.22470308
Society for Psychical Research,Archives,51.49391403,-0.210309174
National Federation of Women's Institutes,Archives,51.47223329,-0.203871557
V&A Archive of Art and Design,Archives,51.49641388,-0.213841724
V&A Department of Theatre and Performance,Archives,51.49641388,-0.213841724
Harrods Archive,Archives,51.49454912,-0.213626532
Baring Archive,Archives,51.51551699,-0.089226292
LexisNexis Butterworths,Archives,51.51631266,-0.111522065
Employment Policy Institute,Archives,51.51506783,-0.075887122
Prudential Group Archives,Archives,51.51039098,-0.089040241
Chartered Insitute of Taxation,Archives,51.51520531,-0.110328375
Foreign and Commonwealth Office Library,Archives,51.51520531,-0.110328375
St Bride Library,Archives,51.51349205,-0.105023493
The Rothschild Archive,Archives,51.51231529,-0.089031735
Worshipful Society of Apothecaries,Archives,51.51289096,-0.102886619
Carpenters Company,Archives,51.51669821,-0.085936685
Clothworkers Company,Archives,51.51152987,-0.081138094
Drapers' Company,Archives,51.51523928,-0.0863582
Mercers' Company Archives,Archives,51.51416686,-0.091735853
Saddlers Company,Archives,51.51488611,-0.095597259
National Association of Citizens Advice Bureaux,Archives,51.51747107,-0.097507308
C Hoare & Co,Archives,51.51377693,-0.1096323
